address,street,city,state,program_type,program_type_specific,org,hi,res,phdt,op,cbhc,msmh,omh,ores,ph,psy,rtca,rtcc,ipsy,shp,vahc,chld,yad,adlt,snr,tay,se,gl,vet,adm,mf,cj,co,hv,dv,trma,tbi,alz,ped,pefp,ptsd,sed,smi
"1 Saint Andrews Lane, Glen Cove, NY",1 Saint Andrews Lane,Glen Cove,NY,Residential,Adults of all genders,Monte Nido,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"100 South Broadway, Irvington, NY",100 South Broadway,Irvington,NY,Residential,Adult females,Monte Nido,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"28855 Lake Vista Drive, Agoura Hills, CA",28855 Lake Vista Drive,Agoura Hills,CA,Residential,Women,Monte Nido,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"2990 Bradywine Drive, West Linn, OR",2990 Bradywine Drive,West Linn,OR,Residential,Adults of all genders,Monte Nido,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"1776 Ivanhoe Ave, Lafayette, CA",1776 Ivanhoe Ave,Lafayette,CA,Residential,Adults of all genders,Monte Nido,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"3100 Route 97, Glenwood, MD",3100 Route 97,Glenwood,MD,Residential,Adults of all genders,Monte Nido,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"514 Live Oak Circle Drive, Calabasas, CA",514 Live Oak Circle Drive,Calabasas,CA,Residential,Adult females,Monte Nido,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"6608 Boughton Hill Rd, Victor, NY 14564",6608 Boughton Hill Rd,Victor,NY,Residential,Adults of all genders,Monte Nido,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"41496 McKenzie Highway, Springfield, OR",41496 McKenzie Highway,Springfield,OR,Residential,Adults of all genders,Monte Nido,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"28W510 Washington Ave, Winfield, IL",28W510 Washington Ave,Winfield,IL,Residential,Adults of all genders,Monte Nido,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"121 Mystic Street, Medford, MA",121 Mystic Street,Medford,MA,Residential,Adult females,Monte Nido,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"520 S. Sepulveda Blvd., Suite 208, Brentwood, CA",520 S. Sepulveda Blvd. Suite 208,Brentwood,CA,PHP/IOP,Adults and adolescents of all genders,Monte Nido,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"2 Corporate Plaza, Suite 200, Newport Beach, CA","2 Corporate Plaza, Suite 200",Newport Beach,CA,PHP/IOP,Adults and adolescents of all genders,Monte Nido,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"419 Boylston Street, Suite 502, Boston, MA","419 Boylston Street, Suite 502",Boston,MA,PHP/IOP,Adults and adolescents of all genders,Monte Nido,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"789 Lancaster Ave, Villanova, PA",789 Lancaster Ave,Villanova,PA,PHP/IOP,Adults and adolescents of all genders,Monte Nido,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
